fingerprint,title,author,issue,date,source-hostname,hostname,filename
Rf/f5WgVVDbLVsOlBWVjZAwbU3A=,Hole in the Wall,Rick Novy,1,May 2006,AtomJack Magazine,http://atomjackmagazine.com,hole in the wall.htm
Pol9q751o+Jk4iwzjpi8wS6wGQQ=,Gates of Nowhere,Cameron Pierce,1,May 2006,AtomJack Magazine,http://atomjackmagazine.com,GatesofNowhere.htm
AV0p6wRbiDHkSjab/Jg+RwiJ5mA=,In the Evening Made,Robert Laughlin,1,May 2006,AtomJack Magazine,http://atomjackmagazine.com,In the Evening Made.htm
ktkg2BuOE20O5n644px5vhLvWEc=,The Dismal Science,Thomas Canfield,1,May 2006,AtomJack Magazine,http://atomjackmagazine.com,The Dismal Science.htm
LdXSX5ZTM0iwlRQtUwFSB78JOh4=,The Star Dreamers,Bruce Boston,1,May 2006,AtomJack Magazine,http://atomjackmagazine.com,The Star Dreamers.htm
QnsONG7Hru1u2jdtXKm/lBKtF3U=,Badware,Kevin Spiess,2,July 2006,AtomJack Magazine,http://atomjackmagazine.com,Badware.html
yiRyYapt2HazJ1KjAat0GxWCsaQ=,Endemic,J. R.,2,July 2006,AtomJack Magazine,http://atomjackmagazine.com,Endemic.html
NR5KforG6f4v/NPLWhwwmqkuRH4=,The Prolix Club,Marshall Payne,2,July 2006,AtomJack Magazine,http://atomjackmagazine.com,Prolix.html
bvNtg+7XJ2xFXNtnG2m9FMAdTe0=,The Mission,William Brust,2,July 2006,AtomJack Magazine,http://atomjackmagazine.com,The Mission.html
4qUukwFFZSM/n3wif9rDgBt6eVM=,Witching Hour,Clay Waters,2,July 2006,AtomJack Magazine,http://atomjackmagazine.com,Witching Hour.html
lx+4nanlPXybY10TB9Dw1UhDbCg=,Abstractions on a World Called Shirley,Kristine Ong Mu,3,September 2006,AtomJack Magazine,http://atomjackmagazine.com,Abstractions.html
DmTNXgjquD4YUm8rVlsz6wE06hw=,Little Doggies,Frank Minogue,3,September 2006,AtomJack Magazine,http://atomjackmagazine.com,Little_Doggies.html
I1roFEYhMxZdlB6EXq0AExhr8qI=,Paper or Plastic,Todd Wheeler,3,September 2006,AtomJack Magazine,http://atomjackmagazine.com,Paper or Plastic.html
iHLdtTFQFna00S/z8O5+J2CF5Ys=,The Next Champion,Lawrence Dagstine,3,September 2006,AtomJack Magazine,http://atomjackmagazine.com,The Next Champion.html
wE/w9z5dLbZcFYrXHZOF7JSOias=,The Last Arabian Prince,T. L. Morganfield,4,November 2006,AtomJack Magazine,http://atomjackmagazine.com,lastarabianprince.html
cre/fOn4L5y9odd08K9abe1HewM=,Terminal Day,Anthony Bernstein,4,November 2006,AtomJack Magazine,http://atomjackmagazine.com,terminalday.html
v9qh6rrZSgcNmnwlNyaR2QRqYsM=,Weapons of Mass Salvation,Thomas White,4,November 2006,AtomJack Magazine,http://atomjackmagazine.com,masssalvation.html
JqfcUqYKcWV3f4tCiNbk3TmRrfA=,Cape City Hero,C. L. Campbell,4,November 2006,AtomJack Magazine,http://atomjackmagazine.com,capecityhero.html
PJOGY4TYgRNTVNPRgNBb6Zr+ZP8=,What's in a Memory?,James Bloomer,4,November 2006,AtomJack Magazine,http://atomjackmagazine.com,memory.html
ITCJ9wAcyjIeSdmgOJnoN/dCMPk=,Jupiter's Child,Lawrence Dagstine,5,January 2007,AtomJack Magazine,http://atomjackmagazine.com,jupiterschild.html
UW0/zSX/I6WUzqkvzZna6PQKjDg=,To the Stars,Anthony Bernstein,5,January 2007,AtomJack Magazine,http://atomjackmagazine.com,tothestars.html
eG022LtGFR5AkenKuDIAjGSVPDM=,The Martian Marathon,David Wright,5,January 2007,AtomJack Magazine,http://atomjackmagazine.com,martianmarathon.html
IY+85ma1EoV04ekTWws8Wxdq9Xc=,The Amerikaan Way,Lou Antonelli,6,March 2007,AtomJack Magazine,http://atomjackmagazine.com,amerikaanway.html
nSTFjlYrycNsAdC6DrkT+uGhQ6w=,Big Wet Nose,Rena Sherwood,6,March 2007,AtomJack Magazine,http://atomjackmagazine.com,bigwetnose.html
CZlRb8x2bILsxhB9wAfodqTzvSA=,"Four Dancers, One Mutiny",H. H. Morris,6,March 2007,AtomJack Magazine,http://atomjackmagazine.com,fourdancers.html
SphBtshfpMVbtjJKuIPYV3SwdN8=,Level Two: Time Trial,Kris Ashton,6,March 2007,AtomJack Magazine,http://atomjackmagazine.com,leveltwo.html
CX6IuLRbEa8nSLZEl4i7JD0Y1bQ=,Run Just a Little Bit Faster,Amanda Under,7,May 2007,AtomJack Magazine,http://atomjackmagazine.com,runjustalittlebitfaster.html
YwjjXxSGnAlfTvNBsX1upXsv8X4=,Outsourcing Blues,Richard Farnsworth,7,May 2007,AtomJack Magazine,http://atomjackmagazine.com,outsourcingblues.html
TmdAfPt2BkZ1dOIBJGW4v2Wezkk=,Across the River,Dianne Rees,7,May 2007,AtomJack Magazine,http://atomjackmagazine.com,acrosstheriver.html
jbZN9xS/IHl9lNNmfk+TLZgw6rw=,Learning Mint from Magic,Cavan Terrill,7,May 2007,AtomJack Magazine,http://atomjackmagazine.com,learningmagicfrommint.html
5ICqwIsMu6GNvHbsFxvOtSwKJ/c=,Stainless Steel,Robert Eggleton,7,May 2007,AtomJack Magazine,http://atomjackmagazine.com,stainlessteel.html
HLLY1bHxL6B/M4tTxrBfDwtXSyo=,Let's Sign up for Eight,Greg Beatty,contest-2007,October 2007,AtomJack Magazine,http://atomjackmagazine.com,letssignupforeight.html
dnh1l4k6k6NLv3ojgznFwWxtDlY=,Fading Moon,Constantine von Hoffman,contest-2007,October 2007,AtomJack Magazine,http://atomjackmagazine.com,fadingmoon.html
sfh8S6WuLbBcSD7XSvZNKIIJWZo=,Marionettes,Mike Simon,contest-2007,October 2007,AtomJack Magazine,http://atomjackmagazine.com,marionettes.html
wX0fqD6icfzDgsn6Dhyj+W4FMzU=,Power Cut,Michael A. Kay,8,November 2007,AtomJack Magazine,http://atomjackmagazine.com,powercut.html
Tv5nzUSI1QCDpavxxOM6mD1NDr0=,"Of Rum, Madness, Thunderstorms &Prayer",Ben Burgis,8,November 2007,AtomJack Magazine,http://atomjackmagazine.com,ofrummadnessthunderstormsandprayer.html
C2yWKuCPfcueTRbNxDmO/PPoawA=,The Bomb,Andrew Knighton,8,November 2007,AtomJack Magazine,http://atomjackmagazine.com,bomb.html
Ll12gyZhcclq8NWQU7p0POv1jdQ=,What Makes Us Strong,T. L. Morganfield,8,November 2007,AtomJack Magazine,http://atomjackmagazine.com,whatmakesusstrong.html
7NrA5MjsTN3SSptUVFM0bzUqits=,The Sarah Connor Chronicles,Television RevieTimothy Milton,8,November 2007,AtomJack Magazine,http://atomjackmagazine.com,sarahconnorchronicles.html
tsQ7ycoh191qd0Nl2XYtvzlpbeo=,The Calculus of Destiny,Jason K. Chapman,8,November 2007,AtomJack Magazine,http://atomjackmagazine.com,calculusofdestiny.html
yec/VC9teIhjzfcmrlhqbyvQSRw=,Replay,Carmelo Rafala,8,November 2007,AtomJack Magazine,http://atomjackmagazine.com,replay.html
ic9ymiCwMEks9m2vlBse7N41IkE=,An Answer to Fermi's Question,Richard K.,8,November 2007,AtomJack Magazine,http://atomjackmagazine.com,ananswertofermisquestion.html
S6VARwKdZZSUszf7uWvJTDgzymA=,Efferus,Yossof Sharifi,8,November 2007,AtomJack Magazine,http://atomjackmagazine.com,efferus.html
/OlRJlJji2jF2UzTG68pNOa2Hb4=,Lovesong of Jack McNally,J. M. McDermott,9,February 2008,AtomJack Magazine,http://atomjackmagazine.com,lovesongofjackmcnally.html
vW2oK/CJYBzchXkDwBEVgtADaKk=,n00bs,Ramon Rozas III,9,February 2008,AtomJack Magazine,http://atomjackmagazine.com,n00bs.html
KFb2UcxsOM1Nu5+P8THBzIyOLV0=,Survivors of the September,Devon Miller,9,February 2008,AtomJack Magazine,http://atomjackmagazine.com,survivorsoftheseptember.html
FUaLHt1Uu4360udnD6NMu863uwc=,The Filigree,Alvaro Zinos-Amaro,9,February 2008,AtomJack Magazine,http://atomjackmagazine.com,filigree.html
c5rTL363SDuwsI5C+8SIkEZgzvo=,'Til Death Do Us,Gary Cuba,9,February 2008,AtomJack Magazine,http://atomjackmagazine.com,tildeathdous.html
FDlDs8yOlSs3QmoJv7zd6UmHDlc=,Reconnoiter,Marshall Payne,9,February 2008,AtomJack Magazine,http://atomjackmagazine.com,reconnoiter.html
Z/z2ykxyHz/UkbG6DGd7YA0nGgw=,The Snows of Earth,Michael Heold,9,February 2008,AtomJack Magazine,http://atomjackmagazine.com,snowsofearth.html
7VMC2AdTcODe2y4cPovs+4EIWZo=,CEO,Edward McKeown,9,February 2008,AtomJack Magazine,http://atomjackmagazine.com,ceo.html
AYWdJZrH4YxieEP0Y1ebZwIZNnc=,Killin Jack the Malakite,Michael John Grist,9,February 2008,AtomJack Magazine,http://atomjackmagazine.com,killinjackthemalakite.html
WKxz+mZsTFTFzoKp6i4N5DA7UMc=,Desperately Seeking Darcy,R. J. Astruc,10,May 2008,AtomJack Magazine,http://atomjackmagazine.com,desperatelyseekingdarcy.html
zAIcutPsFr9u2bcUBocgbykCSkg=,"Aye, Robot",Christopher Lockhart,10,May 2008,AtomJack Magazine,http://atomjackmagazine.com,ayerobot.html
06fFv9LZ9oeqgpvYg3SH1IA3JUg=,This is a Smile,Edward Cowan,10,May 2008,AtomJack Magazine,http://atomjackmagazine.com,thisisasmile.html
K8/tB+cEKssniSwvmHmJP+CHEJM=,Living on Marxist Time,Benjamin Chambers,10,May 2008,AtomJack Magazine,http://atomjackmagazine.com,livingonmarxisttime.html
fi/Db24R7K2mmPAo1X+8kuzHk24=,Gone but Not Forgotten,Ray Tabler,10,May 2008,AtomJack Magazine,http://atomjackmagazine.com,gonebutnotforgotten.html
UZle4GU3O31DHhkPjrX/VSpx77o=,Intelligence Wanted,Daniel P. Swenson,10,May 2008,AtomJack Magazine,http://atomjackmagazine.com,intelligencewanted.html
NozUJ5y80VxLqpBdQPkq/8yjvQw=,The Girl With the Error Message Eyes,KGraham,10,May 2008,AtomJack Magazine,http://atomjackmagazine.com,girlwiththeerrormessageeyes.html
9/1wdxNUkc4WgiUPb2LR7FNcqPQ=,Monkey Heaven,Sam J. Miller,10,May 2008,AtomJack Magazine,http://atomjackmagazine.com,monkeyheaven.html
glwVhsx00RXJytmSERwgnEXmv74=,Human Remains,Bruce Boston,11,August 2008,AtomJack Magazine,http://atomjackmagazine.com,humanremains.html
PiwPGTH4nKHvCmjP4kVMn4mvaZY=,Swimming Pool of the Universe,Nick Cole,11,August 2008,AtomJack Magazine,http://atomjackmagazine.com,swimmingpool.html
RpH8Lle7+mcOK1Po6Adp8rCGlSs=,The Things I Will Miss,J. D. Riso,11,August 2008,AtomJack Magazine,http://atomjackmagazine.com,thethingsiwillmiss.html
dq+jn5qIliyp4a8QSfmp7Q/BCkI=,But I Had No Body,Russ Colson,11,August 2008,AtomJack Magazine,http://atomjackmagazine.com,butihadnobody.html
c9pESuXgGS45by6Qpfr6atmTSBU=,Raid,Barton Paul Levenson,11,August 2008,AtomJack Magazine,http://atomjackmagazine.com,raid.html
9FFqokJMFLXVCuSn9hUHn3zJAHI=,Flora and Fauna,Leah Erickson,11,August 2008,AtomJack Magazine,http://atomjackmagazine.com,floraandfauna.html
T9EqPOTsAZXAsITda3F72Vqwktc=,Trafficking in Stolen Gods,Sue Burke,11,August 2008,AtomJack Magazine,http://atomjackmagazine.com,traffickinginstolengods.html