fingerprint,title,author,date,source,source-hostname,hostname
9VsJYrc4eiiAhYjuynSMmqmOzVA=,The Clockwork Sky,"Nick heard his neighbor turn and murmur in his sleep on the lower berth. Jagged spots of moonlight raced each other across the table. The bottle of mineral water leaned against the window as if nothing had happened. Nick wagged his finger at it and looked down, searching for the intruder. Naturally, the sheep was nowhere to be seen; evaporated, as usual. On the floor there was only a book.",2016-02-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/the-clockwork-sky/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
+ysdJGOTyae2UY0QOVD5AgqXkkU=,Slipping,Joan Stewart,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/slipping/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
WWcAGWIY1GJfhcI+p9D61aFhFV0=,"The Water Buffalo, the Wanderer, and the Prince",Sam Muller,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/stories-for-young-people-from-4-to-400/water-buffalo-et-al/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
nAO3UnYCNBaZYkx/v6kBwZZzlNI=,The Ice Angel of Leningrad,"This story is dedicated to and inspired by my grandmother, who",2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/the-ice-angel-of-leningrad/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
Mwi4qpr9FXrofrpm0frvmf5wfjU=,The Cloud Knitters,Han Whiteoak,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/stories-for-young-people-from-4-to-400/the-cloud-knitters/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
H/NO8JIYPHNXxYzvtMfiovwOqRI=,The Tears of the Dead,Mark Rookyard,2016-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/the-tears-of-the-dead/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
j3sI/eu2cN8CLWDIYSs7diC/EAY=,A Witch’s Junk Drawer,Rebecca Buchanan,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/a-witchs-junk-drawer/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
M8u9oTP8FNLUNcA4QDdYmmGANg0=,Still Life,Adam Stemple,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/still-life/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
fgYiyCUjLVKbIevMacuYPWf4a4c=,Fibonacci’s Rabbits,Geoffrey A. Landis,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/fibonaccis-rabbits/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
kK4XP0yp3OIc4FQ2Wp9cB3WYHxw=,The Shadows Left Behind,Ian Pohl,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/the-shadows-left-behind/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
L1Yt8n0EomKjFIH1aU5ncQnWWKQ=,Ice,Diana Silver,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/ice/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
2zSZsJWrtcukE7CSRa/h/8bLyIc=,Got Time,Lee Rutty,2018-02-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/got-time/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
HT7gAdjmwJ4FaVlxMR2cXWCFqn0=,TO THE MONSTERS WITH LOVE,A. Merc Rustad,2016-01-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/to-the-monsters-with-love/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
sOAOkZt0QVQ1hJ74z2m9yHcaPy4=,Tyrian Purple,T. R. Frazier,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/myths-legends-and-fairy-tales/tyrian-purple/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
snGLLixgNh0aLWuNsK6B+6Tqv+8=,The Sandwich Shack,Patrick Hurley,2018-09-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/the-sandwich-shack/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
Cs2YEJ/oGKOkPPo0zWXJ7nYVnJw=,In a Field of Bone-Bonnets,Aimee Picchi,2017-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/myths-legends-and-fairy-tales/in-a-field-of-bone-bonnets/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
8kdT7Xs2pXltoC7PFv3vaZI7l+0=,Tree with Chalicotheres,Vicki Saunders,2017-07-01,https://cosmicrootsandeldritchshores.com/fiction-all/stories-for-young-people-from-4-to-400/tree-with-chalicotheres/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
9jJJxoaNtCJ5S0zQpcmZmVJN70c=,Souls of Dinosaurs,Alexandra Balasa,2017-05-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/souls-of-dinosaurs/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
fBDM+oPDzwiQ9L6Um1PG6qWiHC0=,The Rental Heart,by Kirsty Logan,2016-05-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/the-rental-heart/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
VQd55n4p5rVNSyg0uTUWxpVJbsY=,In Zarbok’s Kitchen,By Matthew F. Amati,2017-01-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/in-zarboks-kitchen/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
uJdviXbGxXbnhCehDkUuRSeJQh8=,Bolaji Has a Heart,Osahon Ize-Iyamu,2017-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/bolaji-has-a-heart/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
20VWJ29IDkE1jvZ4lQ1DE0lR9Do=,Dawn Blossom,John Eckelkamp,2016-03-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/dawn-blossom/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
uHryvhUJ0ygRyZ9vI90jhnoUTdY=,Four and Twenty Blackbirds,Alexei Collier,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/myths-legends-and-fairy-tales/four-and-twenty-blackbirds/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
VDGXW42WdeftzEGtq1ryBw4H8jU=,Trans-Dimensional Monsters and Suburban Gods,Steve Oden,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/trans-dimensional-monsters-and-suburban-gods/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
puxn0cg+Dp2KKyna5cRSGYY6PAk=,The Oaken Chocolate Box,Gayle Beveridge,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/the-oaken-chocolate-box/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
B3jKp4pg2Y7L1Kqwhc948XRCTRc=,The One and the Many,by William Ledbetter,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/the-one-and-the-many/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
NWPlUyU3PqF1JT+oyGVUFgAnskU=,Souls of Dinosaurs,Alexandra Balasa,2017-05-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/souls-of-dinosaurs/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
rRzJYHTIQvznz2dKw8/hzN13ims=,Auto Draft,H.B. Stonebridge,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/myths-legends-and-fairy-tales/auto-draft/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
ErFDeAvpPkxS5Yn4a4stDgVKyMI=,The Listeners,by Walter de la Mare,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/the-listeners/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
OPLj7aJx3WGuZiXJuzSm4mGXEbw=,The Book of Winter,Caroline Friedel,2018-12-23,https://cosmicrootsandeldritchshores.com/fiction-all/stories-for-young-people-from-4-to-400/the-book-of-winter/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
l8ok+5EhPfvr6vZtO1zq56OnH8o=,The Waiting Shade,Casey Laine,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/the-waiting-shade/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
KBAnDNDN+luTIht9gDo9ip+NdQk=,Cosmic Roots And Eldritch Shores,Stephen S. Power,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/mr-pony/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
i0vGGXugO8TYtcIEzqwRJvFabAQ=,Olaf and Lars,Kevin Lauderdale,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/stories-for-young-people-from-4-to-400/olaf-and-lars/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
vXNNFMiHG392+37Gz0/ms3Qfxp0=,The Magpie of Souls,David Tallerman,2016-03-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/magpie-of-souls/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
x3bcC/QhfWS/hVZr51ObTX+4jOY=,Trans-Dimensional Monsters and Suburban Gods,Steve Oden,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/trans-dimensional-monsters-and-suburban-gods/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
2kNk3nX+0pLZyemvcU94OLz7w/w=,Crow Born,“Do you understand me?”,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/crow-born/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
LtxhiTk6SNyKZIYVGxj/fDsG4vk=,Major Difficulties,H.B. Stonebridge,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/myths-legends-and-fairy-tales/major-difficulties/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
q1iR01Sp7zSx+7KXcEKLLyGTImA=,Love Potion,Anne E.G. Nydam,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/love-potion/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
s9Y4G2NpluQNtkNzoTgWCSi6s5I=,The Last Rosy-Fingered Dawn,Paul Celmer,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/the-last-rosy-fingered-dawn/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
axvGcCDeReDQFY+Vc/ucr8lPZOw=,With the Taste of Oblivion in Her Mouth,by M. E. Garber,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/taste-of-oblivion/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
6JptLQqU2DaZPSMDgdQz91rnxKM=,This Ends in Violence or It Never Ends,Michael Ray,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/this-ends-in-violence-or/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
NQTYBY/gzg+9nG2Aq7BvkbZEGW8=,King of Flame,Janie Brunson,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/king-of-flame/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
L9M2XZT/CaD+oHCyJ4UtvOrFZoQ=,Lunatic,by Kate O’Connor,2016-01-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/lunatic/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
K+kNLqYqI5BtdLsowmc2Pz5y75w=,The Cloud Knitters,Han Whiteoak,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/stories-for-young-people-from-4-to-400/the-cloud-knitters/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
BS+GtPVY4xYXn4Q25JVeMPIp+Yk=,A Possession of Magpies,E.E. King,2016-03-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/a-possession-of-magpies/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
ksQclszig7GuQ+g3WM++Mh+3IA0=,The Omaha Zephyr,Terri Karsten,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/the-omaha-zephyr/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
knDsRKejoG/QbeEfSzcrRHUHfZQ=,In a Field of Bone-Bonnets,Aimee Picchi,2017-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/myths-legends-and-fairy-tales/in-a-field-of-bone-bonnets/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
MMc9Cjm29u/zRW+27D7R3oq9N2Y=,THE SECOND CONCERT,Brian Blanchenot,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/the-second-concert/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
c5hytQNGHQag3FcWuAoI+b0BxN8=,Black Annis and the Bargeust,by Sarah L Byrne,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/myths-legends-and-fairy-tales/black-annis-and-the-bargeust/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
VXzB9tdijYUF4TDYyNtfRbbQye8=,In Zarbok’s Kitchen,By Matthew F. Amati,2017-01-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/in-zarboks-kitchen/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
0k6ikHeiLeOzyDDR5Zts9pUP5iw=,A Ladder to the Moon,Naoko Awa,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/stories-for-young-people-from-4-to-400/ladder-to-the-moon/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
/P6lFynYkZJUZMj5ucH016EocBU=,The Witching Hour,Ekpeki Oghenechovwe Donald,2018-04-01,https://cosmicrootsandeldritchshores.com/fiction-all/myths-legends-and-fairy-tales/the-witching-hour/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
0oZH0pVt/WZ+gi1vQ86FNbhNujg=,Tomorrow Is a Difficult Proposition,Kris Bowser,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/tomorrow-is-a-difficult-proposition/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
mFhYab/Q+0gmSDDOz/9RV71laSE=,The Listeners,by Walter de la Mare,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/the-listeners/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
MsdIg7h6pFY/uwmTdAO2xD7itZc=,Lacrimae Knows,by CJ Jessop,2016-03-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/lacrimae-knows/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
D7TjkCvn1+HdIXTyWz1tASgIHQI=,A Ladder to the Moon,Naoko Awa,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/stories-for-young-people-from-4-to-400/ladder-to-the-moon/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
Blpw06fZvJo6JKGhpw1Uh2kMsC4=,Major Difficulties,H.B. Stonebridge,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/myths-legends-and-fairy-tales/major-difficulties/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
KJM1jm80pH9UEg022u2E/I9uNeM=,The Last Rosy-Fingered Dawn,Paul Celmer,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/the-last-rosy-fingered-dawn/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
OcQfu+7e6o+vdAROIf/tBzLCx2E=,Home is the Sailor,Brenda W. Clough,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/myths-legends-and-fairy-tales/home-is-the-sailor/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
DJtXw67cCeUEM7I08E32L47q480=,Entanglement,Christopher Blake,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/entanglement/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
S7K8IhU1xHONGeZbc4ssZ5Uwir4=,Olaf and Lars,Kevin Lauderdale,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/stories-for-young-people-from-4-to-400/olaf-and-lars/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
rWpeareubaBiQ7Oi56Q4YDAbb5U=,Ice,Diana Silver,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/ice/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
0f/2/Vc9pibhRYCCcSHdsm5vLow=,The Crystal Zyst,"A Eula Banks, State Certified Zeitle Engineer, Story",2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/crystal-zyst/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
tpIu50i5DwN8lOp3xk+Eb4z+GM0=,Got Time,Lee Rutty,2018-02-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/got-time/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
DyDmz5kOsZ6jBsHHMkyorrsHRGw=,Revolution Days,Gary Kloster,2017-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/revolution-days/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
F4/GS10BcQBMXqiMLc4lHff/U5E=,Sonical — Locker X,"This fractal animation video was created by Brian May. He wrote the music first. While writing it, images of science fiction scenes came to him, and inspired him to make the video!",2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/sonical-locker-x/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
33lG0jQ+zJpj0T3NILFuryiJ0OM=,The Crystal Zyst,"A Eula Banks, State Certified Zeitle Engineer, Story",2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/crystal-zyst/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
RrkcpL1LpwMuUA+THcgH/+mtTOo=,The River’s Daughter and the Gunslinger God,Matthew Claxton,2017-04-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/rivers-daughter/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
YYPav1y2FpFQ1Bmy5/2sUTjhDmk=,The Fo’dekai Artifact,J.D. Moyer,2017-04-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/fodekai-artifact/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
