fingerprint,title,author,hostname,categories,tags,id,source,source-hostname,excerpt,filename,has_text
pNSwCg/SSAgu1qVpf6dUNDVCzNs=,A Consensus Told in Chromatophores,Andi C. Buchanan,3lobedmag.com,,,,https://www.3lobedmag.com/issue32/3lbe32_story5.html,Three-Lobed Burning Eye Magazine,"Democracy shades black-brown-yellow, is iridescent, buoyed up on reflective cells: guanophores and leucophores. Democracy is in warm shallow waters, and among the glass towers that poke the surface into the hostile dry-world. Democracy is a consensus told in chromatophores",./scrape/jsonfiles/Fk2sQIf2OKtpGLB0JpCv9y+BDyQ.json,TRUE
molHi7kdeymSP8jD+HPeAMGXg4Q=,A Dark Star Strikes the Stonemason,Simo Srinivas,3lobedmag.com,,,,https://www.3lobedmag.com/issue37/3lbe37_story1.html,Three-Lobed Burning Eye Magazine,"Before the Raden Roro arrived at the Poison Court, portents warned of her coming. Comets spread across the sky in a lattice of rubies; courtiers slept badly and complained of feeling watched, and the Rajah fell ill and took to his bed.",./scrape/jsonfiles/4uqEFaR1qaEG7rUngtPfAWvQn-I.json,TRUE
b7JTtPUjGpZ0aO7Nr5qSBCnKwHE=,A Girl at the End of the World,Prashanth Srivatsa,3lobedmag.com,,,,https://www.3lobedmag.com/issue31/3lbe31_story3.html,Three-Lobed Burning Eye Magazine,"Father slept with his head beside Maya's feet, his arm across her knees, the woolen of his thigh a second pillow for her. When she woke in the middle of the night, he was gone, leaving behind a bale of hay where his head had been,",./scrape/jsonfiles/Ivgl+Xk8xW11UKoMBD1AeDW31ys.json,TRUE
5DD17fNnIKnzQa7TfKnnKETPPNc=,A Girl Explodes,Ruth Joffre,3lobedmag.com,,,,https://www.3lobedmag.com/issue37/3lbe37_story4.html,Three-Lobed Burning Eye Magazine,"No one knows why. Her friends, who were with her at the time, walking around in search of Halloween costumes to wear to a party that weekend, theorize that it had something to do with gym class...",./scrape/jsonfiles/Fb387hyl9OCdJgzqICDA2oGTOlU.json,TRUE
1yI3hMfHbSDl1F/51OipHCukkTc=,A Retrospective,Adam Browne and Jeremy Shaw,3lobedmag.com,,,,https://www.3lobedmag.com/issue27/3lbe27_story4.html,Three-Lobed Burning Eye Magazine,"Never have I travelled so far to review an exhibition. For this, however, I would have travelled further. Readers of my column in the <em>Times of India</em> will be aware that sculpture is my passion. It was the first art form, and it is the last, in the white figures of the skeletons we leave after death.",./scrape/jsonfiles/n8FvaGfeUJdfsuZEkBcdVgndnbA.json,TRUE
+BTFeR2CzB1k6CaBF5cY/XmMOYA=,A Selection of Tissues,Kelly Lagor,3lobedmag.com,,,,https://www.3lobedmag.com/issue34/3lbe34_story5.html,Three-Lobed Burning Eye Magazine,"The idea came to me late one afternoon as I pondered the naked cardboard at the heart of my last roll of toilet paper. Delivery would involve an unacceptable delay, and the thought of exposing myself to the outside world, for something as simple as toilet paper, filled me with a dread resolve.",./scrape/jsonfiles/p+Icz90bvuTghi2zUB8x-aC0on8.json,TRUE
ZI/liPIcaHSt1XpSvur2LhuvXiM=,Angel,Angel,3lobedmag.com,,,,,Three-Lobed Burning Eye Magazine,,./scrape/jsonfiles/hK6Sxt3Se20kooQVEmYYkMEcB8E.json,TRUE
uYKhvUhDkZt9W6HuyBAq2DY2OZI=,"At the End of the Song, a Ghost is Waiting",Cat Rambo,3lobedmag.com,,,,https://www.3lobedmag.com/issue31/3lbe31_story6.html,Three-Lobed Burning Eye Magazine,"At the end of the song, a ghost is waiting. It ripples in the air. It is a hint of iridescent blue, so subtle it can scarcely be seen. If it makes any noise it's not audible over the music. He is listening to the first verse, the one he wrote the first day he saw her.",./scrape/jsonfiles/d6nl1AYhJycX9jlIwpo5UUiLgAM.json,TRUE
buElMJ54BRPu1ExhcYXPTRzxbdg=,At the World Tree Hotel,Claude Lalumiere,3lobedmag.com,,,,https://www.3lobedmag.com/issue26/3lbe26_story1.html,Three-Lobed Burning Eye Magazine,"For the past five days, as the cruise ship <em>Venusian</em> languorously travelled the Mediterranean from Barcelona to Venera, the weather had been perfect: bright blue skies tempered by the occasional white cloud with not a hint of rain; never dipping below fifteen degrees centigrade at night, never going above twenty-five in the daytime; a steady breeze that carried the mesmerizing aroma of the sea.",./scrape/jsonfiles/OAWJzZIh390ZtVlNur-+b+nA+VY.json,TRUE
n6pX01o1x1Sz8FQ5jCHo3oRClyI=,Bad House Spirit,DeAnna Knippling,3lobedmag.com,,,,https://www.3lobedmag.com/issue26/3lbe26_story5.html,Three-Lobed Burning Eye Magazine,"My family didn't come from medicine men or anyone like that. But I always leave a taste out on a napkin for the spirits anyways. I always went to the dances, too, when I lived back at home. You have to let your negative emotions rise like smoke. And I always carry a pack of cigarettes, just in case.",./scrape/jsonfiles/B1MhjfcKZ+mcD6PQqmW6+dX5gbU.json,TRUE
sKZlshmg71EBx6qnXozLS2gx3Mg=,Beast Do,Alexandra Munck,3lobedmag.com,,,,https://www.3lobedmag.com/issue30/3lbe30_story6.html,Three-Lobed Burning Eye Magazine,"The carnations are oversaturated. I’m in the shop, stocking dental floss and toothbrushes when I see them at the edge of my vision: a bright matte red. Like an apple in an illustrated book I once had. The drawing had no depth, just the outline of a perfectly symmetrical apple with one leaf coming off the stem and inside it, red.",./scrape/jsonfiles/-ShJymYUY5D3Ul3DCzGtxqTI7ig.json,TRUE
203rdmI806s88i+Ai5ROzFtP8UI=,Becomes the Color,E. Catherine Tobler,3lobedmag.com,,,,https://www.3lobedmag.com/issue35/3lbe35_story1.html,Three-Lobed Burning Eye Magazine,"I have this dream, that I'll leave town and you'll choose that moment to return. And so I leave these notes, saying hey, I'm at the lake, you remember the one. It's never a question, I know you remember. We argued over the color of the water.",./scrape/jsonfiles/K3ex0kEjdXqiDoWo2LXdtPBT82c.json,TRUE
aKW5p+2/a9rHI/CFdbTNRIJb4D4=,Big in Japan,Lawrence Conquest,3lobedmag.com,,,,https://www.3lobedmag.com/issue23/3lbe23_story5.html,Three-Lobed Burning Eye Magazine,"On the third day they bound my father with rope and lowered his body over the side of the boat. He could no longer speak by that point, his voice having degenerated into a series of choking coughs, but his eyes retained their old intelligence.",./scrape/jsonfiles/GkfCV2X4w9cGZLnbMsBKF2MHpHA.json,TRUE
+h1Q1gXMvKC4zOtG4ZbB0MT9CeM=,Brenden Haukos lives; Works; Where He Studies Yoga; Music,Brenden Haukos,3lobedmag.com,,,,,Three-Lobed Burning Eye Magazine,,./scrape/jsonfiles/wIclR71nL3hadUtoPNVePdsL5dw.json,TRUE
dRvsGoo2ApVMSQZQnMoO+ZL4OUQ=,Carpe Chelonian,Vicki Saunders,3lobedmag.com,,,,https://www.3lobedmag.com/issue27/3lbe27_story1.html,Three-Lobed Burning Eye Magazine,"Hope is the thing with feet. Brother Jude and I scuffed ours along a cracked sidewalk. Basement holes yawned left and right, swallows flew south, and I leaned forward, hitching up my bedroll and hustling to keep up with Jude, a head taller and half-again wider, a born heavy-lifter.",./scrape/jsonfiles/mP63GJ-YT5OlYfgZa9dAB1vHnEk.json,TRUE
+f74uR82YmpSA0Jd9b3+uuZmwZQ=,Cocooning,Christi Nogle,3lobedmag.com,,,,https://www.3lobedmag.com/issue31/3lbe31_story5.html,Three-Lobed Burning Eye Magazine,"Six months ago, we were doing planks and pushups and eating perfect at every meal. Now me and Donny are lucky to make it around the block a couple times after dinner. That's it for the day — and only on the weekdays, just so the dogs don't get too hyper while we’re at work.",./scrape/jsonfiles/cBLubaYo+JqC0RoCUdFxme7KZS8.json,TRUE
kPi0CtkS1qpd6F7EO4p7B/RCbAg=,Coma,Neil Ayres,3lobedmag.com,,,,,Three-Lobed Burning Eye Magazine,,./scrape/jsonfiles/wJC8yJ1nc1omY6zcYuOYVQ+GeTk.json,TRUE
VjORH0W9ExquQCXBdREqYUV1PH0=,Decay,Michael J. DeLuca,3lobedmag.com,,,,https://www.3lobedmag.com/issue28/3lbe28_story3.html,Three-Lobed Burning Eye Magazine,"The jenkem pot lies on the floor between us, its tear-inducing fume of alcohol and excrement weighing like plague on the basement's dank air. A red-white crack of light cast by the cop car in the alley stabs through a ragged hole in the wall, illuminating particles of worse-than-dust, but neither I nor Mbesi stir from sprawled repose.",./scrape/jsonfiles/n78ApFZGuqXnlo8A9TYVsroKYN4.json,TRUE
uvOPCXHquOI/kFKUkQUYshB2ToM=,Delia's Door,Julia August,3lobedmag.com,,,,https://www.3lobedmag.com/issue28/3lbe28_story6.html,Three-Lobed Burning Eye Magazine,"The first time I saw the summer country was when the first fugue of Vivaldi's <em>Dixit</em> came together, finally, for a single perfect moment one wintry night. The rain beat against the drafty windows and fifty voices sang out together, split into two choirs, which means eight different harmony lines, which is quite hard when.",./scrape/jsonfiles/lwz1psUGV9ha7xdcPvIGb33tgnY.json,TRUE
gEJg6sisFqlJrKmlrdcbXNtKc/4=,Dream Catchers,Paula Keane,3lobedmag.com,,,,https://www.3lobedmag.com/issue34/3lbe34_story3.html,Three-Lobed Burning Eye Magazine,"I jostle for position at an imaginary start line that stretches thousands of miles wide. Hydrogen clouds speed past my hull in long striations as I try to maintain my position. The winds reach over nine hundred miles an hour, and the already scorching temperatures begin to rise.",./scrape/jsonfiles/RbJnx3NwN9ynBzrtY85mB-hbelg.json,TRUE
3z8J0TOxbghy6bHe8a25uefuHvw=,Eggs of Stone,Cat Rambo,3lobedmag.com,,,,https://www.3lobedmag.com/issue25/3lbe25_story2.html,Three-Lobed Burning Eye Magazine,"Diana Lattimer hadn't paid much attention to the old woman living further up Canyon Creek Road. Since she and her daughter Katie had moved in, they'd seen occasional cars rattling down the road, stirring red dust that hung like the ghost of travel in the hot air, until it sank, slowly as a long breath, back to the ruts and round white quartz pebbles like discarded molars lying beside the road.",./scrape/jsonfiles/+ktm7xC7-Ce0GFvFdVDM6kH3FF4.json,TRUE
2DfiK6uu1rPdj8z0Z0Y7BhcP8pI=,Elephant Teeth,Zandra Renwick,3lobedmag.com,,,,https://www.3lobedmag.com/issue31/3lbe31_story1.html,Three-Lobed Burning Eye Magazine,"Charlie is an orphan. The last known elephant disappeared from the world twenty years ago when she was eight. Loss of habitat, viral pandemic, human insatiability long since devoured the whale, the honeybee, the domestic chicken, but Charlie is especially conflicted",./scrape/jsonfiles/n97yqchmj6+mDDJLTT7aEq4ut4k.json,TRUE
PsQURemMZvmkrS2J9vQRq4/3vsA=,Exquisite Corpses,A.M. Guay,3lobedmag.com,,,,https://www.3lobedmag.com/issue38/3lbe38_story3.html,Three-Lobed Burning Eye Magazine,"Mariah came late to the woods, wobbling into the weak firelight on her newest legs. Bared by her jean shorts, each long tan thigh was ringed with a fine, crimped seam like an empanada. My parents always wanted me to be a model, she'd told me at orientation...",./scrape/jsonfiles/fOWU7Duo6gwj0i-rz78b67hV+bA.json,TRUE
bADWS8LdLMPwEEBiWb8Xv6JebEA=,Fault Lines,AJ Fitzwater,3lobedmag.com,,,,https://www.3lobedmag.com/issue30/3lbe30_story6.html,Three-Lobed Burning Eye Magazine,"Till runs her fingers across the angry ridge of skin on her wrist, the latest mountain range to erupt from the fault lines of her veins. Even now the plate tectonics of her bones haven't resettled, and the carpals grind against each other as she flexes the crust for her audience to see.",./scrape/jsonfiles/Khbxhk7g3utvDVmJHaxzHgprOuU.json,TRUE
Quw0MYPvcckIy208ixbtTtPi85c=,"Floating Feathers, Wings Red and Wild",Lauren Dixon,3lobedmag.com,,,,https://www.3lobedmag.com/issue30/3lbe30_story5.html,Three-Lobed Burning Eye Magazine,"Bird-clawed and bony, we tread lightly in the shadows, accustomed to the dark. This night, it's too late to turn back, to break the pattern I follow by rote. Donovan stands against a lichen-edged wall, uneven stones pressing into his back.",./scrape/jsonfiles/WeA7eiE6OZt7rvb6ZD8Xvu4+o7Y.json,TRUE
PJ9DImOcsynsL/LWPNh+41mLJnk=,Flowstone,Steve Toase,3lobedmag.com,,,,https://www.3lobedmag.com/issue36/3lbe36_story1.html,Three-Lobed Burning Eye Magazine,"The sensation of damp gravel against his hand is exactly as Dave remembered, sharp and nauseating at the same time. He stands and brushes down his jeans, then looks at the tiny precise stones stuck to his palms by moisture and imprint.",./scrape/jsonfiles/uMVcDTsztn5vGJJxOWdSKeMiSQ0.json,TRUE
wyTglovxGAN8KhPmmVnud5VPYBw=,Fox in the Fields,J.M. McDermott,3lobedmag.com,,,,https://www.3lobedmag.com/issue26/3lbe26_story4.html,Three-Lobed Burning Eye Magazine,"High growing season is no time for running around in the dark. Going out after dark, there are wild dogs, badgers, all kinds of hungry things. The bugs alone can drink a quart of red liquor and leave welts all over. The ticks lounge in the grass, just waiting, bobbing like divers on a board, for all us walking by.",./scrape/jsonfiles/g69qh4qu5s-aD0wel96jW1yk0yY.json,TRUE
yzePfafDW1CScHndcRAWor34U3Q=,Glum Dreams,Aliya Whiteley,3lobedmag.com,,,,https://www.3lobedmag.com/issue24/3lbe24_story6.html,Three-Lobed Burning Eye Magazine,"The worst is my own death. A moment of inattention behind a steering wheel, and I kiss my body goodbye. Actually, that's not the worst.",./scrape/jsonfiles/5foiA5z+ZVje0AmySs0XNFSXcOE.json,TRUE
8Gci3JFc7I47OCDlBqNK9AmYCE8=,Grafting,Lucy Zhang,3lobedmag.com,,,,https://www.3lobedmag.com/issue33/3lbe33_story2.html,Three-Lobed Burning Eye Magazine,Yuan used to tell Wenjie about the head thief whod snip your head off with shears and replace it with someone else's. That's what happens to people who don'y use their heads properly: they get replaced. But where do the bad heads go? Wenjie asked.,./scrape/jsonfiles/9R034cofRO7steechcbjvIIgJbU.json,TRUE
9l5r5bkmAmDqh65cuvhM/l5wtD0=,H Turnip Smith continues,H Turnip Smith continues,3lobedmag.com,,,,,Three-Lobed Burning Eye Magazine,,./scrape/jsonfiles/k-omGXz5w5zx+eXDlmyDwKKQXqg.json,TRUE
mUdO6x1gHLqukN9fnqLO5scYKW0=,Her Last Breath Before Waking,A.C. Wise,3lobedmag.com,,,,https://www.3lobedmag.com/issue24/3lbe24_story1.html,Three-Lobed Burning Eye Magazine,"She is a city haunted by a ghost. When the architect dreams, her sinews are suspension bridges, her ribs vaulting arches, her bones steel I-beams, and her blood concrete. In her dreams, the city is pristine and perfect.",./scrape/jsonfiles/+3Jmcm1mf3GWh6yC1tkNxpym8fE.json,TRUE
5BAOMKXhHsRliG5s2RR/vCNMZ3E=,Hoarfrost,Michelle Muenzler,3lobedmag.com,,,,https://www.3lobedmag.com/issue22/3lbe22_story4.html,Three-Lobed Burning Eye Magazine,"When the first snow falls, it burns. The other women dance in the flurry without me, beneath a moon clouded by giants' breath. Snowflakes spin into their open mouths and dust their outstretched hands.",./scrape/jsonfiles/Oz6aCiBn9cKGuAY5AK+WQvkzfrE.json,TRUE
rgbv3eZJu/1B5sP+A/M77nlYzdc=,I Will Trade With You,J.M. McDermott,3lobedmag.com,,,,https://www.3lobedmag.com/issue23/3lbe23_story6.html,Three-Lobed Burning Eye Magazine,"The north star is still in my palm. North, I keep on, but there's no way to know how far I walked before I stopped to rest on this lump of sand instead of that one. I need to rest to keep walking with these old, uncertain bones.",./scrape/jsonfiles/JX2pMe30wJb1mWdk9mm3rG+8Vs8.json,TRUE
E6EZbE3kRT60axKz/BGQjf6jmRM=,Imago,Octavia Cade,3lobedmag.com,,,,https://www.3lobedmag.com/issue32/3lbe32_story1.html,Three-Lobed Burning Eye Magazine,"I fell pregnant three months after my sixteenth birthday. The fifth girl in my class, because with the coal running out and mines running down the town's gone along with it, and there's not much else to do round here but fuck, so we do. The results speak for themselves.",./scrape/jsonfiles/CPjdq1AN+09cLF8cXfWbHvZUd8Q.json,TRUE
g0CuI+HBoK6TeO5VvH/py19Trvw=,In the Otherwise Dark,E. Catherine Tobler,3lobedmag.com,,,,https://www.3lobedmag.com/issue28/3lbe28_story1.html,Three-Lobed Burning Eye Magazine,"The earlier it happens, the better. If, in infancy, a child can focus its young eyes upon the apparition, one has a chance of keeping the vision one's entire life. If the lack extends into young adulthood, the ability is, in ninety percent of cases, lost.",./scrape/jsonfiles/AZxElruWKOm7TOXMXsxUfiyIF-I.json,TRUE
kIFrFag1wzrJim7223Qn+StwBQw=,Judith of Lions,R.S. Bohn,3lobedmag.com,,,,https://www.3lobedmag.com/issue22/3lbe22_story6.html,Three-Lobed Burning Eye Magazine,"Judith of the lions looked beyond the fence, beyond the cave of skulls. Cottonwood and scrub brush blocked her view of the highway. The expanding silence had at last been broken. The cicadas had come again.",./scrape/jsonfiles/Pd79IiNZCB3GbMAvSsmdcOPIIa4.json,TRUE
bAD/7qreZFP7yT/ZO2hZm0aubf8=,Kintsukuroi of the Lucky Few,Holly Schofield,3lobedmag.com,,,,https://www.3lobedmag.com/issue34/3lbe34_story6.html,Three-Lobed Burning Eye Magazine,"You couldn’t help it. I know you couldn’t. You just had to do it. I jerked back when my temple exploded in pain, and blood flowed into my eyes and mouth, salty and warm. The other kids were screaming and sirens roared but you smiled into my eyes and I felt your essence and your touch.",./scrape/jsonfiles/AFiInVcnaPhAWqRd83GG49pKzy0.json,TRUE
BclCP5FpdU7kFWWYfTe+dOmqpfY=,Ladybird,E. Catherine Tobler,3lobedmag.com,,,,https://www.3lobedmag.com/issue22/3lbe22_story1.html,Three-Lobed Burning Eye Magazine,"At my single word, the man in the chair arched, trying to get closer to the voice. The ropes strained, and so too did his muscles. This room could have been anywhere, anywhen; I could not count how many had come to this place to be so tortured.",./scrape/jsonfiles/D-GZj-ByagH52PPH8bzooRl1ua4.json,TRUE
9vGzMwIlzg8uF9jF+KABRZ9R82w=,Learning to Drown,Kristi DeMeester,3lobedmag.com,,,,https://www.3lobedmag.com/issue30/3lbe30_story1.html,Three-Lobed Burning Eye Magazine,"Hannah lifts her skirt above her knees, the blue floral print a harsh, discordant pattern against the smooth green lining the rocks she steps over, and wades into the river. Behind her, the fire we built flickers, threatens to die, and I force my hands against my sides. I won't reach for her. I won't.",./scrape/jsonfiles/zYI2Ye0LeUMPEYN-mLfdklZ+7qg.json,TRUE
4wVKB7Nu8ZtFZSU22mAbme7TLRU=,Lest You Be Swept Away,Lauren Ring,3lobedmag.com,,,,https://www.3lobedmag.com/issue38/3lbe38_story1.html,Three-Lobed Burning Eye Magazine,"Never look at a flame for so long that it becomes beautiful. I was taught that mantra as a child in school, and again as a cadet in the fire academy, but I heard it from my father first.",./scrape/jsonfiles/Py8KFt12ZLJ0bhlhcfubZE7qRL0.json,TRUE
OEMF31VKPvGGvlJOWG6dcYQvEY8=,Little Seller of La Quarantaine,Sara Saab,3lobedmag.com,,,,https://www.3lobedmag.com/issue27/3lbe27_story3.html,Three-Lobed Burning Eye Magazine,"Before we set sail for Beyrouth, I had resolved to knit ten pairs of socks, one for each day of the journey. On the day we dropped anchor at that famous port, I distributed nineteen new pairs of socks among the crew of the <em>Tridente</em>. Our progress had been delayed by angry, low clouds, a howling wind, and a discreet argument among the captain’s trusted sailors.",./scrape/jsonfiles/UpQkJaPy0rG+BppG2Np1y9lL8-s.json,TRUE
AWc/rHwDec84Uj1A9uEA71k2A5A=,Mango,Saswati Chatterjee,3lobedmag.com,,,,https://www.3lobedmag.com/issue33/3lbe33_story4.html,Three-Lobed Burning Eye Magazine,"I heard him come, horse and hooves all, smelling of the war and blood, and knew he was home. I was sitting by the unoon, fire warming my feet, and he was trotting in across the old broken road, barren fields on either side.",./scrape/jsonfiles/bfEmXeojpW2T2zGvGeQTocUEHlQ.json,TRUE
1UdufCzelU/rAoVHi5N+7MGTdJQ=,Narrative of an Unnamed Supplicant,Chloe Smith,3lobedmag.com,,,,https://www.3lobedmag.com/issue34/3lbe34_story4.html,Three-Lobed Burning Eye Magazine,"[Scholar's note: the following is taken from interviews held between the 15th and 18th days of the Month of Swallows, in the 1115th year since the Libraerie's founding. The researcher has attempted to hew as closely as possible to the supplicant's words, with some minor editing and condensation for clarity.",./scrape/jsonfiles/-JwVHccX28qZxAxOG6B8ioYUVKg.json,TRUE
O2jf8JQBx5YWVoWSy81Ev/mZGEI=,Negligible Senescence,Mel Kassel,3lobedmag.com,,,,https://www.3lobedmag.com/issue28/3lbe28_story4.html,Three-Lobed Burning Eye Magazine,"The sea is rife with immortals and healers. Soft things with cells that never quiet, but keep dividing into pouches of seething organelles. They need never fear that their children will cart them off to a retirement home that smells of nectar and licorice. Much of the time, their children are themselves, cloned afresh.",./scrape/jsonfiles/iZ0qqTYv5AzuEO-z-6e6vB799OU.json,TRUE
W6XSW57qjAXt0KDeuEEsM7nxA4Y=,Noctulos,Tim Curran,3lobedmag.com,,,,,Three-Lobed Burning Eye Magazine,,./scrape/jsonfiles/Poxmi9pfRqX2ypOug+o3Uicjq4w.json,TRUE
mtXnlc1nkE7vBNL2qpSj+g2ITKU=,None of Mine Bled Dry,Jaxton Kimble,3lobedmag.com,,,,https://www.3lobedmag.com/issue34/3lbe34_story2.html,Three-Lobed Burning Eye Magazine,"Cormac's mother twice-cursed the day thauma opened a channel through them, though only one curse was the magical kind. The mundane one regularly seasoned Mother's tongue: 'Hellfire on the day engineers started greasing their gears with our blood.'",./scrape/jsonfiles/7FTDsaHnMkd0aZxePxsLK1RnMfc.json,TRUE
AnGKFi7EWX5jB6oZiv0wIyVS+HU=,Oakmoss and Ambergris,Joe Koch,3lobedmag.com,,,,https://www.3lobedmag.com/issue35/3lbe35_story2.html,Three-Lobed Burning Eye Magazine,"Tearing open plastic baggies with a hotel pen, Laden laces the running bath with fragrant stolen compounds. Gem-like powders and fungal dusts sift downward through steam. Dark versus light, a paisley sparkle snake-fight spins on the surface of the water as substances clash and combine.",./scrape/jsonfiles/illKsSRFXSyWRINhjT-TNdNZSZw.json,TRUE
V7cnruYX1VW0RzpOMqrq4YTv+Os=,Oddities,April French,3lobedmag.com,,,,,Three-Lobed Burning Eye Magazine,,./scrape/jsonfiles/50B1iQS0YzxKoTTZpSFa-FKc9VA.json,TRUE
YaI6y3I9oQaZHq0uPD0hwSSVArQ=,Of Cog; Feather,Darja Malcolm-Clarke,3lobedmag.com,,,,,Three-Lobed Burning Eye Magazine,,./scrape/jsonfiles/cDhWvKqVIspcigyczrtOqQZCKaQ.json,TRUE
pBR4IvJL2HMFuqfDzaTuT5pGUW0=,Offgrid,Mari Ness,3lobedmag.com,,,,https://www.3lobedmag.com/issue26/3lbe26_story3.html,Three-Lobed Burning Eye Magazine,"I would be fat for three more hours. Not a look I normally used. But this was a special case, and I needed every advantage I could get. Especially given the timeline. I'd been warned this room would lock down in two hours Three, at most. Still, I took a moment to scan the room, gathering and noting identities, on and offgrid.",./scrape/jsonfiles/T3J+jIAuuqjZ7c1XyWna3wU8FjE.json,TRUE
V/+dyLOvMn0ETRaOl7eblOhjn74=,On Lonesome Tides,Cameron Pierce,3lobedmag.com,,,,https://www.3lobedmag.com/issue30/3lbe30_story3.html,Three-Lobed Burning Eye Magazine,"We launch out of the West End Marina in the pre-dawn fog, navigating the treacherous sands to the Washington side of the river. The Blind Channel popped off yesterday and we limited out before noon. High slack coincided with sunrise this morning. We anticipated another bloodbath.",./scrape/jsonfiles/G8uzD-TRHgKVvUzSyaqOlLUhWv0.json,TRUE
Jxqn0QP6QFVY2CkHIG2hFQa5YBc=,One Eye Opened in That Other Place,Christi Nogle,3lobedmag.com,,,,https://www.3lobedmag.com/issue38/3lbe38_story4.html,Three-Lobed Burning Eye Magazine,"They were tied up together from the start: Dottie and that other place. That other place, that other eye. Charles didn't like to think of it as a third eye, though that's what it was. It wasn't in his forehead, wasn't in the center of his face at all.",./scrape/jsonfiles/OqGuCoy4SitCFukH9RzeSrt4fdo.json,TRUE
xzMnkGXGFxsh0umdXQI0TkgRfoo=,One in the Morning and One at Night,Gemma Files,3lobedmag.com,,,,https://www.3lobedmag.com/issue23/3lbe23_story2.html,Three-Lobed Burning Eye Magazine,"How it happens is simple, like any other accident, any other wound. Alena is walking to the garbage, a bag in either hand, when suddenly she's seized by the notion that if she turns her back on the utterly empty end of the hallway",./scrape/jsonfiles/yQMPTXnpBQejRvn5TY1ta7bNkFI.json,TRUE
IOuFdAiwSxXokDX1HSQnnaYIV7E=,Orach,Brendan Connell,3lobedmag.com,,,,,Three-Lobed Burning Eye Magazine,,./scrape/jsonfiles/ZRBHpHx-xMyhcqGN5rfRNzFsd6U.json,TRUE
UtJfKtRc5h4VtOpjbop+Fj6/sQA=,Our Quiet Guests,Thomas Ha,3lobedmag.com,,,,https://www.3lobedmag.com/issue37/3lbe37_story3.html,Three-Lobed Burning Eye Magazine,"The day I was finally visited by those three -- their tall rigid silhouettes blotting the afternoon sun from their looming positions on the porch -- I remembered my manners, after a momentary catch in my throat...",./scrape/jsonfiles/FZXCnix8IlnHinCkTQTwMv+IqOQ.json,TRUE
